text,ticker,timestamp,likes,retweets,replies
$AMD overvalued 📉,AMD,2024-09-09 16:46:00,438,36,14
$QCOM bearish 📉,QCOM,2024-09-13 14:16:00,424,34,4
$AAPL strong buy 🚀,AAPL,2024-01-13 09:13:00,404,6,49
$TSLA crash incoming 📉,TSLA,2024-10-19 23:21:00,371,1,40
$AMD strong buy 📈,AMD,2024-09-13 21:14:00,26,88,39
$AMD sell off 🔻,AMD,2024-11-09 21:41:00,327,22,50
$INTC short squeeze 😭,INTC,2024-07-03 21:44:00,373,46,38
$AMD bearish 🔻,AMD,2024-08-24 09:09:00,38,1,25
$GOOGL put options 💸,GOOGL,2024-09-06 00:13:00,64,19,0
$QCOM bubble 😭,QCOM,2024-12-19 07:23:00,383,70,4
$META to the moon 💎,META,2024-07-10 07:03:00,89,40,38
$INTC sell off 📉,INTC,2024-11-26 03:04:00,243,66,43
$INTC short squeeze 💀,INTC,2024-05-07 22:24:00,153,92,2
$GOOGL hodl 🔥,GOOGL,2024-08-11 23:56:00,138,69,2
$TSLA short squeeze 💀,TSLA,2024-03-06 12:55:00,197,92,23
$AAPL breakout 🔥,AAPL,2024-08-14 06:48:00,35,34,6
$GOOGL bubble 🔻,GOOGL,2024-08-14 21:53:00,78,44,46
$AMZN bullish 🚀,AMZN,2024-12-06 06:27:00,142,72,17
$AMZN dump 💀,AMZN,2024-08-04 07:41:00,334,63,49
$QCOM diamond hands 🔥,QCOM,2024-08-09 00:11:00,399,71,25
$META to the moon 💎,META,2024-01-26 17:02:00,59,42,21
$MSFT moon mission 🔥,MSFT,2024-12-10 15:43:00,411,63,2
$AAPL bearish 📉,AAPL,2024-06-01 08:13:00,177,69,12
$META pumping 🔥,META,2024-10-22 05:14:00,454,6,43
$MSFT short squeeze 💸,MSFT,2024-03-08 01:20:00,58,94,10
$AAPL breakout 🔥,AAPL,2024-10-01 12:57:00,44,86,27
$MSFT breakout 💎,MSFT,2024-11-20 20:15:00,127,23,13
$NVDA dump 🔻,NVDA,2024-07-18 13:46:00,267,94,9
$AMD falling knife 🔻,AMD,2024-09-06 06:29:00,229,32,42
$AMD put options 😭,AMD,2024-03-01 21:35:00,355,37,4
$AMZN bearish 📉,AMZN,2024-02-03 01:49:00,337,10,39
$INTC breakout 🔥,INTC,2024-10-02 03:07:00,35,43,41
$AMZN dump 💸,AMZN,2024-05-28 04:54:00,411,40,10
$META to the moon 🚀,META,2024-02-19 11:06:00,284,20,0
$MSFT overvalued 🔻,MSFT,2024-03-03 02:50:00,168,15,48
$AMD strong buy 🚀,AMD,2024-07-16 09:25:00,341,50,21
$GOOGL crash incoming 🔻,GOOGL,2024-12-20 01:12:00,73,33,20
$TSLA put options 😭,TSLA,2024-08-07 13:56:00,46,30,2
$NVDA bullish 🔥,NVDA,2024-06-19 14:32:00,313,95,10
$AAPL hodl 🔥,AAPL,2024-09-24 01:24:00,383,72,2
$GOOGL bubble 📉,GOOGL,2024-09-29 02:03:00,202,3,41
$AMD pumping 💎,AMD,2024-08-03 08:01:00,276,6,19
$NVDA short squeeze 😭,NVDA,2024-06-05 00:58:00,254,2,26
$TSLA put options 💀,TSLA,2024-07-06 00:51:00,161,36,48
$AMZN to the moon 🚀,AMZN,2024-01-06 20:14:00,240,51,22
$AMD overvalued 📉,AMD,2024-12-17 02:41:00,193,67,3
$GOOGL bearish 💀,GOOGL,2024-11-10 12:24:00,402,70,35
$GOOGL bullish 💰,GOOGL,2024-11-06 03:36:00,259,60,18
$TSLA strong buy 💎,TSLA,2024-02-17 13:23:00,202,45,15
$INTC bubble 💀,INTC,2024-03-20 23:51:00,320,66,31
$GOOGL short squeeze 💸,GOOGL,2024-04-18 21:51:00,347,56,8
$INTC breakout 🚀,INTC,2024-11-06 22:07:00,445,43,21
$AMD to the moon 🔥,AMD,2024-08-10 17:00:00,31,90,30
$AMD bearish 🔻,AMD,2024-03-02 04:51:00,448,21,14
$MSFT overvalued 📉,MSFT,2024-08-12 22:21:00,384,57,2
$QCOM crash incoming 💸,QCOM,2024-12-13 00:49:00,60,100,37
$INTC rally 💎,INTC,2024-02-06 23:36:00,34,65,9
$INTC bullish 📈,INTC,2024-11-18 08:04:00,1,71,44
$AMZN bubble 💀,AMZN,2024-01-09 20:23:00,122,23,12
$AAPL put options 📉,AAPL,2024-05-09 01:50:00,451,100,17
$MSFT sell off 💸,MSFT,2024-08-26 05:40:00,291,72,35
$NVDA dump 💀,NVDA,2024-10-11 11:15:00,203,99,24
$NVDA put options 📉,NVDA,2024-12-23 13:07:00,220,64,7
$GOOGL sell off 💀,GOOGL,2024-06-07 20:38:00,215,27,10
$AMD falling knife 💀,AMD,2024-02-20 23:19:00,355,25,26
$TSLA dump 🔻,TSLA,2024-05-15 18:05:00,393,22,10
$GOOGL falling knife 😭,GOOGL,2024-12-09 02:34:00,202,54,25
$GOOGL put options 🔻,GOOGL,2024-03-23 19:44:00,337,35,42
$GOOGL hodl 💎,GOOGL,2024-12-07 21:37:00,100,2,17
$AMD short squeeze 🔻,AMD,2024-05-23 09:33:00,86,36,20
$AMZN overvalued 📉,AMZN,2024-11-25 22:33:00,319,15,46
$AAPL bullish 🔥,AAPL,2024-06-16 08:41:00,303,21,1
$MSFT bearish 😭,MSFT,2024-04-11 13:08:00,159,75,15
$INTC diamond hands 💰,INTC,2024-09-21 23:00:00,130,12,31
$AMZN dump 💸,AMZN,2024-12-27 08:27:00,32,2,10
$MSFT moon mission 🚀,MSFT,2024-09-30 23:26:00,69,23,17
$AAPL moon mission 📈,AAPL,2024-08-31 23:50:00,88,81,0
$META moon mission 🚀,META,2024-02-02 03:50:00,105,45,28
$GOOGL to the moon 💰,GOOGL,2024-03-14 04:39:00,413,73,42
$GOOGL moon mission 💰,GOOGL,2024-12-21 17:06:00,284,41,1
$INTC short squeeze 🔻,INTC,2024-11-25 11:23:00,142,97,47
$TSLA crash incoming 📉,TSLA,2024-12-14 02:10:00,210,71,13
$NVDA dump 📉,NVDA,2024-10-30 19:07:00,190,22,44
$TSLA hodl 💰,TSLA,2024-06-07 09:16:00,401,82,30
$GOOGL hodl 📈,GOOGL,2024-01-22 21:57:00,106,27,31
$AAPL bearish 😭,AAPL,2024-09-09 20:23:00,163,82,24
$GOOGL bearish 😭,GOOGL,2024-04-06 07:13:00,68,12,6
$MSFT bearish 📉,MSFT,2024-04-27 22:20:00,310,84,39
$QCOM strong buy 🚀,QCOM,2024-05-18 10:57:00,304,80,26
$NVDA short squeeze 🔻,NVDA,2024-11-13 14:12:00,301,68,23
$MSFT rally 💰,MSFT,2024-10-17 09:54:00,475,81,35
$MSFT short squeeze 💀,MSFT,2024-10-22 22:17:00,154,60,9
$GOOGL strong buy 📈,GOOGL,2024-08-25 17:50:00,240,71,49
$MSFT diamond hands 🔥,MSFT,2024-09-16 15:22:00,500,55,14
$MSFT to the moon 💰,MSFT,2024-06-05 14:32:00,238,46,32
$MSFT bullish 💎,MSFT,2024-10-16 15:10:00,447,89,37
$GOOGL put options 💸,GOOGL,2024-10-21 11:47:00,358,96,46
$AMZN bullish 📈,AMZN,2024-12-19 09:43:00,81,15,32
$AAPL breakout 🚀,AAPL,2024-11-29 05:56:00,379,21,6
$QCOM diamond hands 📈,QCOM,2024-11-17 02:39:00,210,7,10
$AMD bullish 💰,AMD,2024-10-13 01:29:00,62,88,4
$AMZN crash incoming 🔻,AMZN,2024-10-30 11:17:00,489,72,9
$GOOGL bearish 💀,GOOGL,2024-10-01 06:10:00,65,95,48
$INTC sell off 📉,INTC,2024-11-14 00:52:00,430,33,22
$QCOM hodl 💰,QCOM,2024-11-20 23:47:00,392,75,41
$MSFT to the moon 💰,MSFT,2024-07-16 18:57:00,415,50,25
$AMD crash incoming 🔻,AMD,2024-09-10 14:09:00,175,17,42
$META bubble 💀,META,2024-12-21 21:59:00,332,71,4
$GOOGL short squeeze 😭,GOOGL,2024-06-27 00:27:00,313,69,33
$GOOGL short squeeze 💸,GOOGL,2024-03-13 20:13:00,487,49,5
$TSLA bearish 💀,TSLA,2024-11-11 04:27:00,413,60,50
$META bullish 🚀,META,2024-02-26 01:57:00,195,9,17
$GOOGL diamond hands 🔥,GOOGL,2024-08-04 00:51:00,360,73,43
$QCOM bearish 😭,QCOM,2024-12-06 15:36:00,99,86,29
$MSFT moon mission 🚀,MSFT,2024-03-14 00:59:00,318,14,9
$META moon mission 📈,META,2024-08-05 19:53:00,398,57,43
